Imag_Part,Zeta_Abs,Zeta_Peak
0.1,1.4338078677509,False
0.14994994994994995,1.40278560913366,False
0.1998998998998999,1.36285813696868,False
0.24984984984984984,1.31666230947942,False
0.29979979979979976,1.26671967224442,False
0.3497497497497497,1.21518998117199,False
0.39969969969969965,1.16376550363969,False
0.4496496496496496,1.11367093139701,False
0.49959959959959954,1.06572337246202,False
0.5495495495495495,1.02041532252538,False
0.5994994994994994,0.977997422314974,False
0.6494494494494494,0.938549738991879,False
0.6993993993993993,0.902038087024578,False
0.7493493493493493,0.868356021850888,False
0.7992992992992992,0.837354832100755,False
0.8492492492492492,0.808864213429266,False
0.8991991991991991,0.78270605281287,False
0.949149149149149,0.758703291939034,False
0.999099099099099,0.736685367926339,False
1.049049049049049,0.716491326764315,False
1.098998998998999,0.697971388518006,False
1.148948948948949,0.680987507162369,False
1.198898898898899,0.665413297179024,False
1.2488488488488487,0.651133578305529,False
1.2987987987987988,0.638043705777345,False
1.3487487487487488,0.62604879560293,False
1.3986986986986987,0.615062915069971,False
1.4486486486486485,0.605008282158123,False
1.4985985985985986,0.595814499834386,False
1.5485485485485486,0.587417839536675,False
1.5984984984984985,0.579760580573117,False
1.6484484484484483,0.572790407347069,False
1.6983983983983983,0.566459863348975,False
1.7483483483483484,0.560725859114565,False
1.7982982982982982,0.555549230412742,False
1.848248248248248,0.550894342510696,False
1.8981981981981981,0.546728736276717,False
1.9481481481481482,0.543022811994705,False
1.998098098098098,0.539749546993793,False
2.048048048048048,0.536884243486218,False
2.097997997997998,0.534404303320995,False
2.147947947947948,0.532289026677544,False
2.197897897897898,0.530519432028826,False
2.2478478478478476,0.529078094989908,False
2.2977977977977977,0.527949003931567,False
2.3477477477477477,0.527117430478011,False
2.3976976976976974,0.526569813223358,False
2.4476476476476474,0.526293653194065,False
2.4975975975975975,0.526277419755765,True
2.5475475475475475,0.526510465814654,False
2.5974974974974976,0.526982951297572,False
2.647447447447447,0.527685774013083,False
2.6973973973973973,0.528610507099944,False
2.7473473473473473,0.529749342360909,False
2.797297297297297,0.531095038860371,False
2.847247247247247,0.532640876235202,False
2.897197197197197,0.534380612230469,False
2.947147147147147,0.536308444026551,False
2.997097097097097,0.53841897297247,False
3.0470470470470468,0.540707172382817,False
3.096996996996997,0.543168358093132,False
3.146946946946947,0.545798161501731,False
3.1968968968968965,0.54859250485521,False
3.2468468468468465,0.551547578560686,False
3.2967967967967966,0.554659820330755,False
3.3467467467467467,0.557925895987377,False
3.3966966966966967,0.561342681768907,False
3.4466466466466463,0.564907248000449,False
3.4965965965965964,0.568616844001874,False
3.5465465465465464,0.572468884120523,False
3.596496496496496,0.5764609347868,False
3.646446446446446,0.580590702500956,False
3.696396396396396,0.584856022668261,False
3.7463463463463462,0.589254849207834,False
3.7962962962962963,0.593785244867506,False
3.846246246246246,0.598445372183555,False
3.896196196196196,0.603233485029874,False
3.946146146146146,0.608147920706346,False
3.9960960960960956,0.613187092520795,False
4.046046046046046,0.618349482823105,False
4.095995995995995,0.62363363645385,False
4.145945945945945,0.629038154573158,False
4.195895895895895,0.634561688838634,False
4.245845845845845,0.640202935903903,False
4.2957957957957955,0.645960632211862,False
4.345745745745745,0.651833549058978,False
4.395695695695695,0.657820487909069,False
4.445645645645645,0.663920275936804,False
4.495595595595595,0.670131761782933,False
4.5455455455455445,0.67645381150473,False
4.595495495495495,0.682885304706585,False
4.645445445445445,0.689425130836937,False
4.695395395395394,0.696072185638907,False
4.745345345345345,0.702825367743073,False
4.795295295295294,0.709683575391784,False
4.845245245245245,0.716645703285305,False
4.895195195195194,0.723710639540915,False
4.945145145145144,0.730877262756821,False
4.9950950950950945,0.738144439173424,False
5.045045045045044,0.74551101992514,False
5.094994994994995,0.752975838376517,False
5.144944944944944,0.760537707536971,False
5.194894894894894,0.768195417548912,False
5.244844844844844,0.775947733244537,False
5.294794794794794,0.783793391766933,False
5.344744744744744,0.791731100251579,False
5.394694694694694,0.799759533564654,False
5.444644644644644,0.807877332094925,False
5.494594594594593,0.81608309959628,False
5.544544544544544,0.82437540107827,False
5.594494494494493,0.832752760742304,False
5.644444444444444,0.841213659961363,False
5.6943943943943935,0.849756535301378,False
5.744344344344343,0.858379776582604,False
5.794294294294294,0.867081724979529,False
5.844244244244243,0.875860671158082,False
5.894194194194194,0.884714853449046,False
5.944144144144143,0.893642456056775,False
5.994094094094093,0.902641607302484,False
6.0440440440440435,0.911710377901499,False
6.093993993993993,0.920846779274032,False
6.143943943943943,0.930048761889169,False
6.193893893893893,0.939314213641875,False
6.243843843843843,0.94864095826296,False
6.2937937937937924,0.958026753762062,False
6.343743743743743,0.96746929090379,False
6.393693693693693,0.976966191717319,False
6.443643643643643,0.986515008039773,False
6.493593593593593,0.996113220093881,False
6.543543543543542,1.00575823510043,False
6.593493493493493,1.01544738592618,False
6.643443443443442,1.02517792976791,False
6.693393393393393,1.03494704687344,False
6.7433433433433425,1.04475183930052,False
6.793293293293292,1.05458932971437,False
6.843243243243243,1.06445646022514,False
6.893193193193192,1.07435009126609,False
6.943143143143142,1.08426700051391,False
6.993093093093092,1.09420388185206,False
7.043043043043042,1.10415734437874,False
7.092992992992992,1.11412391146043,False
7.142942942942942,1.12410001983273,False
7.192892892892892,1.13408201874959,False
7.242842842842842,1.14406616918264,False
7.292792792792792,1.15404864307194,False
7.342742742742741,1.16402552262983,False
7.392692692692692,1.1739927996994,False
7.4426426426426415,1.18394637516925,False
7.492592592592592,1.19388205844609,False
7.542542542542542,1.20379556698712,False
7.592492492492491,1.21368252589361,False
