Distance between clusters
78
186
106
16
148
248
20
30
78
182
50
50
114
42
30
78
168
114
30
170
38
40
120
88
114
50
184
182
38
96
78
14
68
16
90
42
58
64
96
18
50
36
18
32
152
126
70
52
60
38
60
40
16
60
72
48
22
30
44
206
74
66
42
30
90
184
86
66
40
12
18
22
54
28
94
78
104
36
112
78
294
56
110
90
140
58
60
110
270
154
12
64
76
12
34
30
48
28
222
40
64
198
80
24
144
32
68
116
18
18
124
120
