Prime,Prime_Diff,Cluster,Spiral_X,Spiral_Y
2,1.0,True,1.4142135623730951,0.0
3,2.0,True,1.732049320871704,0.002269376096689365
5,2.0,True,2.236060300231895,0.005859498856363463
7,4.0,True,2.6457308723809887,0.010399563939587915
11,2.0,True,3.3165792415195563,0.017382022942210463
13,4.0,True,3.6054739055557126,0.023620253106963994
17,2.0,True,4.122978220558104,0.03241284935845847
19,4.0,True,4.358715614280193,0.03997741650044301
23,6.0,True,4.795568071090544,0.050268036931160595
29,2.0,True,5.38479040274154,0.06350053970328412
31,6.0,True,5.56728646332094,0.07294816874622645
37,4.0,True,6.082130786968487,0.08766464629537842
41,2.0,True,6.402332816698264,0.10067027480091238
43,4.0,True,6.55648732311633,0.11168698140284454
47,6.0,True,6.854501267255433,0.12574727509443384
53,6.0,True,7.278703943980657,0.14306954910264955
59,2.0,True,7.679457982713327,0.1610127067674434
61,6.0,True,7.808312331847694,0.17394978676401526
67,4.0,True,8.183076499475222,0.1930259146756061
71,2.0,True,8.423538959386217,0.2097412684776335
73,6.0,True,8.541070431554058,0.2238657705701711
79,4.0,True,8.884830179513733,0.2445254203595264
83,6.0,True,9.106649011365448,0.2625714832131589
89,8.0,False,9.429697819570402,0.284251704637344
97,4.0,True,9.843988860769857,0.30965030120929105
101,2.0,True,10.044484689495366,0.32913116305387047
103,4.0,True,10.143003328402726,0.34566382514121047
107,2.0,True,10.337608469055217,0.3658567212966242
109,4.0,True,10.433281569994106,0.38293038691302145
113,14.0,False,10.62247317105374,0.4038115033571402
127,4.0,True,11.260723037826125,0.442850612929472
131,6.0,True,11.43608337516844,0.46475481298861604
137,2.0,True,11.69441362533043,0.49060163033367893
139,10.0,False,11.77880744255162,0.5096030134237315
149,2.0,True,12.194445700693366,0.5435936467998008
151,6.0,True,12.275287277604216,0.5633136358088048
157,6.0,True,12.516028146478924,0.590795596249131
163,4.0,True,12.752145925913403,0.6186875497455869
167,6.0,True,12.906834063012193,0.643144206121941
173,6.0,True,13.135778437531588,0.671807145005291
179,2.0,True,13.36071816519107,0.7008638315203518
181,10.0,False,13.434216774311501,0.7223708609900253
191,2.0,True,13.799354675139123,0.7601385069288775
193,4.0,True,13.870401398757759,0.7822819423576158
197,2.0,True,14.012351447173064,0.8087069437731496
199,12.0,False,14.082223474336638,0.8312532820038523
211,12.0,False,14.499464355817885,0.8749476523579244
